8'孔蒂很满意，向着弟子竖起来大拇指！！                   8'第8分钟，阿扎尔脚后跟妙传，莫拉塔禁区右肋10码处低射远角仍然偏出
8'坎特前场中路拿球，直塞给阿扎尔                   8'第8分钟，阿扎尔脚后跟妙传，莫拉塔禁区右肋10码处低射远角仍然偏出
9'阿扎尔脚后跟分球给到莫拉塔                   8'第8分钟，阿扎尔脚后跟妙传，莫拉塔禁区右肋10码处低射远角仍然偏出
9'莫拉塔拿球趟两步，进入禁区，直接起脚，打偏！                   8'第8分钟，阿扎尔脚后跟妙传，莫拉塔禁区右肋10码处低射远角仍然偏出
9'坎特右后场拿球，带至中线附近                   8'第8分钟，阿扎尔脚后跟妙传，莫拉塔禁区右肋10码处低射远角仍然偏出
9'斜塞中路给回接的莫拉塔                   8'第8分钟，阿扎尔脚后跟妙传，莫拉塔禁区右肋10码处低射远角仍然偏出
10'莫拉塔背身拿球，没机会转身，回传后场路易斯                   8'第8分钟，阿扎尔脚后跟妙传，莫拉塔禁区右肋10码处低射远角仍然偏出
10'路易斯再给右侧的阿兹皮利奎塔                   8'第8分钟，阿扎尔脚后跟妙传，莫拉塔禁区右肋10码处低射远角仍然偏出
10'阿兹皮利奎塔带球过中线，大范围转移球到左前场找阿隆索                   8'第8分钟，阿扎尔脚后跟妙传，莫拉塔禁区右肋10码处低射远角仍然偏出
10'传球力量有点大，阿隆索在出边线前头球顶回                   8'第8分钟，阿扎尔脚后跟妙传，莫拉塔禁区右肋10码处低射远角仍然偏出
11'小法想拿，被胡安弗兰成功控制！！                   8'第8分钟，阿扎尔脚后跟妙传，莫拉塔禁区右肋10码处低射远角仍然偏出
40'卡拉斯科角球开出到前点                   40'马竞第40分钟打破僵局，路易斯角球混战中前点拉倒卢卡斯-埃尔南德斯，格里兹曼点球劲射中路入网
40'路易斯防守中拉倒了卢卡斯！！                   40'马竞第40分钟打破僵局，路易斯角球混战中前点拉倒卢卡斯-埃尔南德斯，格里兹曼点球劲射中路入网
40'裁判给了马竞点球！！                   40'马竞第40分钟打破僵局，路易斯角球混战中前点拉倒卢卡斯-埃尔南德斯，格里兹曼点球劲射中路入网
40'同时给了路易斯一张黄牌！！                   40'马竞第40分钟打破僵局，路易斯角球混战中前点拉倒卢卡斯-埃尔南德斯，格里兹曼点球劲射中路入网
41'格里兹曼主罚，一蹴而就！！1-0！！！                   40'马竞第40分钟打破僵局，路易斯角球混战中前点拉倒卢卡斯-埃尔南德斯，格里兹曼点球劲射中路入网
41'格里兹曼助跑，左脚推射中路，库尔图瓦扑向了自己的左侧，球进！                   40'马竞第40分钟打破僵局，路易斯角球混战中前点拉倒卢卡斯-埃尔南德斯，格里兹曼点球劲射中路入网
42'切尔西右路的传中，被解围                   40'马竞第40分钟打破僵局，路易斯角球混战中前点拉倒卢卡斯-埃尔南德斯，格里兹曼点球劲射中路入网
42'没能顶远，阿隆素大禁区线上凌空再打                   40'马竞第40分钟打破僵局，路易斯角球混战中前点拉倒卢卡斯-埃尔南德斯，格里兹曼点球劲射中路入网
43'打在马竞球员身上边线，出了底线，角球！                   40'马竞第40分钟打破僵局，路易斯角球混战中前点拉倒卢卡斯-埃尔南德斯，格里兹曼点球劲射中路入网
43'角球开出到禁区，混战中                   40'马竞第40分钟打破僵局，路易斯角球混战中前点拉倒卢卡斯-埃尔南德斯，格里兹曼点球劲射中路入网
43'卡希尔的侧身抽射，再被挡出底线！！                   40'马竞第40分钟打破僵局，路易斯角球混战中前点拉倒卢卡斯-埃尔南德斯，格里兹曼点球劲射中路入网
43'切尔西继续右侧角球机会！！                   40'马竞第40分钟打破僵局，路易斯角球混战中前点拉倒卢卡斯-埃尔南德斯，格里兹曼点球劲射中路入网
43'角球开出到禁区，戈丁头球解围！！                   40'马竞第40分钟打破僵局，路易斯角球混战中前点拉倒卢卡斯-埃尔南德斯，格里兹曼点球劲射中路入网
59'巴卡约科中圈拿球，分球给坎特                   59'切尔西第59分钟扳平比分，阿扎尔左路传中，莫拉塔前点小禁区边缘蹭入远角，1-1
59'坎特带球到前场中路，再分左侧阿隆索                   59'切尔西第59分钟扳平比分，阿扎尔左路传中，莫拉塔前点小禁区边缘蹭入远角，1-1
59'阿隆索内切后横传交给阿扎尔                   59'切尔西第59分钟扳平比分，阿扎尔左路传中，莫拉塔前点小禁区边缘蹭入远角，1-1
59'切尔西进球了，1-1！！！                   59'切尔西第59分钟扳平比分，阿扎尔左路传中，莫拉塔前点小禁区边缘蹭入远角，1-1
