59'1-0！！！                   59'巴萨第59分钟打破僵局
59'帕科！！！                   59'巴萨第59分钟打破僵局
59'巴萨的角球机会                   59'巴萨第59分钟打破僵局
59'角球送前点，帕科甩头攻门顶进远端！！                   59'巴萨第59分钟打破僵局
60'巴萨这边换人                   59'巴萨第59分钟打破僵局
60'比达尔下，梅西上！！                   59'巴萨第59分钟打破僵局
61'梅西上场也是点燃了诺坎普                   59'巴萨第59分钟打破僵局
62'葡萄牙体育右路起球送禁区                   59'巴萨第59分钟打破僵局
62'葡萄牙体育右路起球送禁区                   62'葡萄牙队员第62分钟错过良机，布鲁诺-费尔迪内斯右路传中，多斯特在门前5米处半凌空推射太正，西莱森下意识挡出
63'多斯特门前推射被西莱森用腿挡出                   62'葡萄牙队员第62分钟错过良机，布鲁诺-费尔迪内斯右路传中，多斯特在门前5米处半凌空推射太正，西莱森下意识挡出
63'西莱森这下也是下意识的去挡                   62'葡萄牙队员第62分钟错过良机，布鲁诺-费尔迪内斯右路传中，多斯特在门前5米处半凌空推射太正，西莱森下意识挡出
63'皮克刚才也是走神了                   62'葡萄牙队员第62分钟错过良机，布鲁诺-费尔迪内斯右路传中，多斯特在门前5米处半凌空推射太正，西莱森下意识挡出
63'西莱森扑球出去也是自己乐了                   62'葡萄牙队员第62分钟错过良机，布鲁诺-费尔迪内斯右路传中，多斯特在门前5米处半凌空推射太正，西莱森下意识挡出
63'葡萄牙体育换人                   62'葡萄牙队员第62分钟错过良机，布鲁诺-费尔迪内斯右路传中，多斯特在门前5米处半凌空推射太正，西莱森下意识挡出
64'布鲁诺-塞萨尔下，科恩特朗上！                   62'葡萄牙队员第62分钟错过良机，布鲁诺-费尔迪内斯右路传中，多斯特在门前5米处半凌空推射太正，西莱森下意识挡出
64'巴萨这边也换人                   62'葡萄牙队员第62分钟错过良机，布鲁诺-费尔迪内斯右路传中，多斯特在门前5米处半凌空推射太正，西莱森下意识挡出
64'皮克下，布斯克茨上！                   62'葡萄牙队员第62分钟错过良机，布鲁诺-费尔迪内斯右路传中，多斯特在门前5米处半凌空推射太正，西莱森下意识挡出
46'下半场比赛开始！！                   46'补时第1分钟，梅西直传，丹尼斯-苏亚雷斯禁区左侧传中，马蒂厄抢在帕科前面解围铲进自家大门，2比0
46'葡萄牙体育这边并没有放弃                   46'补时第1分钟，梅西直传，丹尼斯-苏亚雷斯禁区左侧传中，马蒂厄抢在帕科前面解围铲进自家大门，2比0
46'比赛一开始帕科就被挨了一肘                   46'补时第1分钟，梅西直传，丹尼斯-苏亚雷斯禁区左侧传中，马蒂厄抢在帕科前面解围铲进自家大门，2比0
47'皮克底线控球                   46'补时第1分钟，梅西直传，丹尼斯-苏亚雷斯禁区左侧传中，马蒂厄抢在帕科前面解围铲进自家大门，2比0
48'在对方的干扰下给了一个边线球就                   46'补时第1分钟，梅西直传，丹尼斯-苏亚雷斯禁区左侧传中，马蒂厄抢在帕科前面解围铲进自家大门，2比0
48'葡萄牙体育掷球到禁区里                   46'补时第1分钟，梅西直传，丹尼斯-苏亚雷斯禁区左侧传中，马蒂厄抢在帕科前面解围铲进自家大门，2比0
48'皮克头球解围出来                   46'补时第1分钟，梅西直传，丹尼斯-苏亚雷斯禁区左侧传中，马蒂厄抢在帕科前面解围铲进自家大门，2比0
48'葡萄牙体育这边也是区域的高压逼抢                   46'补时第1分钟，梅西直传，丹尼斯-苏亚雷斯禁区左侧传中，马蒂厄抢在帕科前面解围铲进自家大门，2比0
48'巴萨这边有点不适应啊                   46'补时第1分钟，梅西直传，丹尼斯-苏亚雷斯禁区左侧传中，马蒂厄抢在帕科前面解围铲进自家大门，2比0
49'巴萨中场将球控出来                   46'补时第1分钟，梅西直传，丹尼斯-苏亚雷斯禁区左侧传中，马蒂厄抢在帕科前面解围铲进自家大门，2比0
49'回敲给到门将                   46'补时第1分钟，梅西直传，丹尼斯-苏亚雷斯禁区左侧传中，马蒂厄抢在帕科前面解围铲进自家大门，2比0
49'大脚找苏亚雷斯                   46'补时第1分钟，梅西直传，丹尼斯-苏亚雷斯禁区左侧传中，马蒂厄抢在帕科前面解围铲进自家大门，2比0
49'后卫这边上抢先犯规                   46'补时第1分钟，梅西直传，丹尼斯-苏亚雷斯禁区左侧传中，马蒂厄抢在帕科前面解围铲进自家大门，2比0
49'场边梅西开始热身了                   46'补时第1分钟，梅西直传，丹尼斯-苏亚雷斯禁区左侧传中，马蒂厄抢在帕科前面解围铲进自家大门，2比0
