1'上半场比赛开始！！                   1'第1分钟，球迷施放的烟火影响了能见度
1'白衣白裤的皇马从画面的左侧向右进攻！！                   1'第1分钟，球迷施放的烟火影响了能见度
2'巴黎右路的进攻，科瓦契奇逼抢，将球破坏出边线                   1'第1分钟，球迷施放的烟火影响了能见度
2'拉比奥特中场拿球，分球维拉蒂                   1'第1分钟，球迷施放的烟火影响了能见度
2'维拉蒂再给拉比奥特，卡塞米罗的抢断                   1'第1分钟，球迷施放的烟火影响了能见度
2'拉比奥特反抢，踢翻了卡塞米罗，犯规                   1'第1分钟，球迷施放的烟火影响了能见度
3'马塞洛左路拿球，传中到禁区                   1'第1分钟，球迷施放的烟火影响了能见度
3'马基尼奥斯头球解围出来                   1'第1分钟，球迷施放的烟火影响了能见度
3'巴斯克斯外围拿球，头球摆渡找阿森西奥                   1'第1分钟，球迷施放的烟火影响了能见度
3'维拉蒂上抢成功拦截！！                   1'第1分钟，球迷施放的烟火影响了能见度
4'莫塔中场拿球，过顶找迪马利亚                   1'第1分钟，球迷施放的烟火影响了能见度
4'边裁举旗，迪马利亚的越位在先！                   1'第1分钟，球迷施放的烟火影响了能见度
18'巴斯克斯2过2，再想直塞给C罗                   18'皇马第18分钟险些破门，战术角球开出后，阿森西奥右路传中，拉莫斯前点距门7米处左脚半凌空推射被阿雷奥拉封出
18'席尔瓦伸脚一挡，球弹地而起                   18'皇马第18分钟险些破门，战术角球开出后，阿森西奥右路传中，拉莫斯前点距门7米处左脚半凌空推射被阿雷奥拉封出
18'到了门前，本泽马的凌空打门，被挡出底线                   18'皇马第18分钟险些破门，战术角球开出后，阿森西奥右路传中，拉莫斯前点距门7米处左脚半凌空推射被阿雷奥拉封出
18'皇马的右路角球，开出到门前                   18'皇马第18分钟险些破门，战术角球开出后，阿森西奥右路传中，拉莫斯前点距门7米处左脚半凌空推射被阿雷奥拉封出
18'拉莫斯的抢点攻门，阿雷奥拉奋力将球挡出                   18'皇马第18分钟险些破门，战术角球开出后，阿森西奥右路传中，拉莫斯前点距门7米处左脚半凌空推射被阿雷奥拉封出
19'莫塔前场中路拿球，分球右路给迪马利亚                   18'皇马第18分钟险些破门，战术角球开出后，阿森西奥右路传中，拉莫斯前点距门7米处左脚半凌空推射被阿雷奥拉封出
19'迪马利亚拿球内切，横传维拉蒂                   18'皇马第18分钟险些破门，战术角球开出后，阿森西奥右路传中，拉莫斯前点距门7米处左脚半凌空推射被阿雷奥拉封出
20'维拉蒂停球有点大                   18'皇马第18分钟险些破门，战术角球开出后，阿森西奥右路传中，拉莫斯前点距门7米处左脚半凌空推射被阿雷奥拉封出
20'再想奋力去拿，一个滑铲，放倒了上来的卡塞米罗                   18'皇马第18分钟险些破门，战术角球开出后，阿森西奥右路传中，拉莫斯前点距门7米处左脚半凌空推射被阿雷奥拉封出
20'维拉蒂被主裁判出示了黄牌警告！！！                   18'皇马第18分钟险些破门，战术角球开出后，阿森西奥右路传中，拉莫斯前点距门7米处左脚半凌空推射被阿雷奥拉封出
20'这也是本场比赛的第一张黄牌！！！！                   18'皇马第18分钟险些破门，战术角球开出后，阿森西奥右路传中，拉莫斯前点距门7米处左脚半凌空推射被阿雷奥拉封出
21'卡瓦哈尔右路拿球，面对逼抢                   18'皇马第18分钟险些破门，战术角球开出后，阿森西奥右路传中，拉莫斯前点距门7米处左脚半凌空推射被阿雷奥拉封出
21'横传给到瓦拉内                   18'皇马第18分钟险些破门，战术角球开出后，阿森西奥右路传中，拉莫斯前点距门7米处左脚半凌空推射被阿雷奥拉封出
21'瓦拉内的大范围转移球到左路给马塞洛                   18'皇马第18分钟险些破门，战术角球开出后，阿森西奥右路传中，拉莫斯前点距门7米处左脚半凌空推射被阿雷奥拉封出
21'马塞洛带球过中线，分球阿森西奥                   18'皇马第18分钟险些破门，战术角球开出后，阿森西奥右路传中，拉莫斯前点距门7米处左脚半凌空推射被阿雷奥拉封出
21'阿森西奥内切分球给到本泽马                   18'皇马第18分钟险些破门，战术角球开出后，阿森西奥右路传中，拉莫斯前点距门7米处左脚半凌空推射被阿雷奥拉封出
38'单刀赴会，进入禁区                   38'皇马第38分钟再度错过良机，马塞洛后场左路长传，马尔基尼奥斯飞身解围踢漏，本泽马单刀突入禁区左侧距门10米处推射被阿雷奥拉腿部一挡击中边网
38'面对出击的阿雷奥拉，选择打小门                   38'皇马第38分钟再度错过良机，马塞洛后场左路长传，马尔基尼奥斯飞身解围踢漏，本泽马单刀突入禁区左侧距门10米处推射被阿雷奥拉腿部一挡击中边网
38'被阿雷奥拉挡出底线，打在边网上                   38'皇马第38分钟再度错过良机，马塞洛后场左路长传，马尔基尼奥斯飞身解围踢漏，本泽马单刀突入禁区左侧距门10米处推射被阿雷奥拉腿部一挡击中边网
38'皇马的左侧角球，这次没能形成威胁！                   38'皇马第38分钟再度错过良机，马塞洛后场左路长传，马尔基尼奥斯飞身解围踢漏，本泽马单刀突入禁区左侧距门10米处推射被阿雷奥拉腿部一挡击中边网
39'尤里左路拿球，直塞找姆巴佩                   38'皇马第38分钟再度错过良机，马塞洛后场左路长传，马尔基尼奥斯飞身解围踢漏，本泽马单刀突入禁区左侧距门10米处推射被阿雷奥拉腿部一挡击中边网
39'姆巴佩背身拿球，身后的卡瓦哈尔上抢，将球捅出边线                   38'皇马第38分钟再度错过良机，马塞洛后场左路长传，马尔基尼奥斯飞身解围踢漏，本泽马单刀突入禁区左侧距门10米处推射被阿雷奥拉腿部一挡击中边网
40'拉比奥特前场左路拿球，连续的转身摆脱                   38'皇马第38分钟再度错过良机，马塞洛后场左路长传，马尔基尼奥斯飞身解围踢漏，本泽马单刀突入禁区左侧距门10米处推射被阿雷奥拉腿部一挡击中边网
40'横传给到维拉蒂，再给莫塔                   38'皇马第38分钟再度错过良机，马塞洛后场左路长传，马尔基尼奥斯飞身解围踢漏，本泽马单刀突入禁区左侧距门10米处推射被阿雷奥拉腿部一挡击中边网
40'分球阿尔维斯，阿尔维斯停球失误                   38'皇马第38分钟再度错过良机，马塞洛后场左路长传，马尔基尼奥斯飞身解围踢漏，本泽马单刀突入禁区左侧距门10米处推射被阿雷奥拉腿部一挡击中边网
40'科瓦契奇的抢断，阿尔维斯回防放铲                   38'皇马第38分钟再度错过良机，马塞洛后场左路长传，马尔基尼奥斯飞身解围踢漏，本泽马单刀突入禁区左侧距门10米处推射被阿雷奥拉腿部一挡击中边网
40'将球回铲给到后场的马基尼奥斯                   38'皇马第38分钟再度错过良机，马塞洛后场左路长传，马尔基尼奥斯飞身解围踢漏，本泽马单刀突入禁区左侧距门10米处推射被阿雷奥拉腿部一挡击中边网
41'迪马利亚禁区右侧拿球，横传到前点                   38'皇马第38分钟再度错过良机，马塞洛后场左路长传，马尔基尼奥斯飞身解围踢漏，本泽马单刀突入禁区左侧距门10米处推射被阿雷奥拉腿部一挡击中边网
41'卡瓦尼的抢点打门，被纳瓦斯稳稳拿到                   38'皇马第38分钟再度错过良机，马塞洛后场左路长传，马尔基尼奥斯飞身解围踢漏，本泽马单刀突入禁区左侧距门10米处推射被阿雷奥拉腿部一挡击中边网
41'上半场比赛41分钟，比分依旧是0-0！！                   38'皇马第38分钟再度错过良机，马塞洛后场左路长传，马尔基尼奥斯飞身解围踢漏，本泽马单刀突入禁区左侧距门10米处推射被阿雷奥拉腿部一挡击中边网
51'皇马的前场进攻，烟雾很大啊                   51'皇马第51分钟打破僵局
51'马塞洛的左路传中，C罗的附身冲顶，顶偏！                   51'皇马第51分钟打破僵局
52'阿尔维斯右路失误，阿森西奥的抢断                   51'皇马第51分钟打破僵局
52'阿森西奥反击到前场，控制一下，等待队友上来                   51'皇马第51分钟打破僵局
52'皇马进球了，1-0！！！                   51'皇马第51分钟打破僵局
52'C罗的头球！！                   51'皇马第51分钟打破僵局
53'阿森西奥前场左路拿球，面对阿尔维斯，内切突然一个穿裆斜塞到禁区，巴斯克斯插上无人防守，左脚传中到后点，C罗插上高高跃起，头球顶进网窝！！                   51'皇马第51分钟打破僵局
53'现在双方两回合总比分来到了4-1，皇马领先！！！                   51'皇马第51分钟打破僵局
54'维拉蒂前场中路背身拿球，转身直塞打身后                   51'皇马第51分钟打破僵局
54'姆巴佩前插接应，边裁举旗，越位在先                   51'皇马第51分钟打破僵局
54'维拉蒂中路拿球，强突到禁区弧附近                   51'皇马第51分钟打破僵局
66'迪马利亚前场左路拿球，强突传中到禁区                   66'巴黎第66分钟雪上加霜，维拉蒂在卢卡斯-巴斯克斯和科瓦契奇夹防下倒地，他起身后追着德国主裁判布里希讨说法，结果吃到第2张黄牌被罚下
66'瓦拉内的头球解围                   66'巴黎第66分钟雪上加霜，维拉蒂在卢卡斯-巴斯克斯和科瓦契奇夹防下倒地，他起身后追着德国主裁判布里希讨说法，结果吃到第2张黄牌被罚下
66'维拉蒂外围拿球，遭遇三人围堵                   66'巴黎第66分钟雪上加霜，维拉蒂在卢卡斯-巴斯克斯和科瓦契奇夹防下倒地，他起身后追着德国主裁判布里希讨说法，结果吃到第2张黄牌被罚下
67'和巴斯克斯身体接触后，摔倒在地                   66'巴黎第66分钟雪上加霜，维拉蒂在卢卡斯-巴斯克斯和科瓦契奇夹防下倒地，他起身后追着德国主裁判布里希讨说法，结果吃到第2张黄牌被罚下
67'裁判示意不犯规，维拉蒂很不满                   66'巴黎第66分钟雪上加霜，维拉蒂在卢卡斯-巴斯克斯和科瓦契奇夹防下倒地，他起身后追着德国主裁判布里希讨说法，结果吃到第2张黄牌被罚下
67'直接怒气冲冲的奔向裁判大声抗议                   66'巴黎第66分钟雪上加霜，维拉蒂在卢卡斯-巴斯克斯和科瓦契奇夹防下倒地，他起身后追着德国主裁判布里希讨说法，结果吃到第2张黄牌被罚下
67'裁判鸣哨，直接给了维拉蒂一张黄牌，两黄变一红，被罚下了！！                   66'巴黎第66分钟雪上加霜，维拉蒂在卢卡斯-巴斯克斯和科瓦契奇夹防下倒地，他起身后追着德国主裁判布里希讨说法，结果吃到第2张黄牌被罚下
68'维拉蒂还想找裁判再说说，席尔瓦过来说了两句，维拉蒂离场                   66'巴黎第66分钟雪上加霜，维拉蒂在卢卡斯-巴斯克斯和科瓦契奇夹防下倒地，他起身后追着德国主裁判布里希讨说法，结果吃到第2张黄牌被罚下
68'帕斯托雷前场中路强突，直塞打身后                   66'巴黎第66分钟雪上加霜，维拉蒂在卢卡斯-巴斯克斯和科瓦契奇夹防下倒地，他起身后追着德国主裁判布里希讨说法，结果吃到第2张黄牌被罚下
69'卡瓦尼插上，面对纳瓦斯，推射被挡出                   66'巴黎第66分钟雪上加霜，维拉蒂在卢卡斯-巴斯克斯和科瓦契奇夹防下倒地，他起身后追着德国主裁判布里希讨说法，结果吃到第2张黄牌被罚下
69'裁判鸣哨，原来卡瓦尼前插越位在先了                   66'巴黎第66分钟雪上加霜，维拉蒂在卢卡斯-巴斯克斯和科瓦契奇夹防下倒地，他起身后追着德国主裁判布里希讨说法，结果吃到第2张黄牌被罚下
46'上半场比赛补时1分钟！！                   46'少打1人的巴黎第71分钟追平
46'卡塞米罗中场拿球，卡瓦尼身后上抢，被吹犯规！                   46'少打1人的巴黎第71分钟追平
46'卡瓦哈尔右路拿球，斜传过顶想找本泽马                   46'少打1人的巴黎第71分钟追平
47'席尔瓦抢先头球解围出来                   46'少打1人的巴黎第71分钟追平
47'尤里左路拿球，直塞姆巴佩                   46'少打1人的巴黎第71分钟追平
47'再给卡瓦尼，回传维拉蒂                   46'少打1人的巴黎第71分钟追平
46'下半场比赛开始！！                   46'少打1人的巴黎第71分钟追平
46'皇马开球，从画面的右侧向左进攻！！                   46'少打1人的巴黎第71分钟追平
46'莫塔中场拿球，本泽马的上抢犯规！！                   46'少打1人的巴黎第71分钟追平
47'席尔瓦后场拿球，斜传右路给到阿尔维斯                   46'少打1人的巴黎第71分钟追平
47'阿尔维斯再给姆巴佩，没机会                   46'少打1人的巴黎第71分钟追平
47'回传阿尔维斯，再找维拉蒂                   46'少打1人的巴黎第71分钟追平
47'本泽马回防拦截                   46'少打1人的巴黎第71分钟追平
47'姆巴佩和阿尔维斯夹抢，成功反断回来                   46'少打1人的巴黎第71分钟追平
48'姆巴佩拿球中路强突，分球右侧阿尔维斯                   46'少打1人的巴黎第71分钟追平
48'阿尔维斯的横传球，被挡了出来！！                   46'少打1人的巴黎第71分钟追平
48'巴黎前场拿球再攻，赢得左侧角球机会！！                   46'少打1人的巴黎第71分钟追平
49'现场看台上烟火很大，烟雾弥漫，都有些看不清球了                   46'少打1人的巴黎第71分钟追平
49'席尔瓦作为队长，示意球迷要淡定啊                   46'少打1人的巴黎第71分钟追平
49'裁判吹停比赛，带烟雾稍稍散去一些，重新开始比赛                   46'少打1人的巴黎第71分钟追平
49'巴黎左侧角球开出到禁区，被解围                   46'少打1人的巴黎第71分钟追平
80'尽管多一人作战，皇马并不着急反击啊                   80'皇马第80分钟再度超出
80'皇马再进一球！！                   80'皇马第80分钟再度超出
81'这样双方的两回合较量，基本没悬念了                   80'皇马第80分钟再度超出
81'卡塞米罗的进球！！！                   80'皇马第80分钟再度超出
82'皇马中场抢断，分球给到C罗，强突往禁区冲，分球右侧给上来的巴斯克斯，传中到后点，被顶到中路，卡塞米罗插上迎球抽射，打在了倒地封堵的马基尼奥斯身上弹进网窝！                   80'皇马第80分钟再度超出
83'皇马换人：22号伊斯科上，换下了20号阿森西奥                   80'皇马第80分钟再度超出
83'贝尔前场左路拿球再突                   80'皇马第80分钟再度超出
83'内切到禁区，横传门前                   80'皇马第80分钟再度超出
83'巴斯克斯插上推射，被阿雷奥拉封堵出底线                   80'皇马第80分钟再度超出
83'皇马换人：22号伊斯科上，换下了20号阿森西奥                   83'皇马83分钟连续中柱
83'贝尔前场左路拿球再突                   83'皇马83分钟连续中柱
83'内切到禁区，横传门前                   83'皇马83分钟连续中柱
83'巴斯克斯插上推射，被阿雷奥拉封堵出底线                   83'皇马83分钟连续中柱
84'帕斯托雷后场中路拿球，带球到前场                   83'皇马83分钟连续中柱
84'分球姆巴佩，变向摆脱卡塞米罗                   83'皇马83分钟连续中柱
84'再送直塞想给帕斯托雷，传到了其身后                   83'皇马83分钟连续中柱
84'拉莫斯上抢断球，给到卡塞米罗                   83'皇马83分钟连续中柱
84'卡塞米罗中线位置拿球，卡瓦尼上抢被吹犯规                   83'皇马83分钟连续中柱
85'卡瓦尼被主裁判出示了黄牌警告！！                   83'皇马83分钟连续中柱
85'这时候的无谓犯规，有些输球输人了啊                   83'皇马83分钟连续中柱
85'巴黎第三次换人：19号迪亚拉上，换下了29号姆巴佩！                   83'皇马83分钟连续中柱
86'全场比赛80分钟，比分1-2，皇马领先！！！                   83'皇马83分钟连续中柱
86'总比分皇马5-2巴黎，晋级没悬念！                   83'皇马83分钟连续中柱
86'席尔瓦后场拿球，分球拉比奥特                   83'皇马83分钟连续中柱
