2'卢卡库禁区前沿接到回做后直接打门                   2'开场仅2分钟，林加德回敲，卢卡库禁区弧内迎球怒射偏出
2'推射打门打高了                   2'开场仅2分钟，林加德回敲，卢卡库禁区弧内迎球怒射偏出
4'曼联（4-2-3-1）：  门将：1号德赫亚  后卫：25号瓦伦西亚、3号拜利、12号斯莫林、18号阿什利-扬  后腰：31号马蒂奇、27号费莱尼  中场：14号林加德、7号桑切斯、19号拉什福德  前锋：9号卢卡库                   2'开场仅2分钟，林加德回敲，卢卡库禁区弧内迎球怒射偏出
4'塞维利亚（4-2-3-1）：  门将：1号里科  后卫：25号梅尔卡多、4号克亚尔、5号朗格莱、18号埃斯库德罗  后腰：15号恩宗齐、10号巴内加  中场：17号萨拉比亚、22号巴斯克斯、11号华金-科雷亚  前锋：20号穆里尔                   2'开场仅2分钟，林加德回敲，卢卡库禁区弧内迎球怒射偏出
5'林加德左路带球突破                   2'开场仅2分钟，林加德回敲，卢卡库禁区弧内迎球怒射偏出
5'底线附近将球回敲                   2'开场仅2分钟，林加德回敲，卢卡库禁区弧内迎球怒射偏出
5'卢卡库禁区内跟进打门                   2'开场仅2分钟，林加德回敲，卢卡库禁区弧内迎球怒射偏出
5'被后卫封堵                   2'开场仅2分钟，林加德回敲，卢卡库禁区弧内迎球怒射偏出
4'曼联（4-2-3-1）：  门将：1号德赫亚  后卫：25号瓦伦西亚、3号拜利、12号斯莫林、18号阿什利-扬  后腰：31号马蒂奇、27号费莱尼  中场：14号林加德、7号桑切斯、19号拉什福德  前锋：9号卢卡库                   3'3分钟后，科雷亚传球，巴斯克斯禁区左侧斜射偏出
4'塞维利亚（4-2-3-1）：  门将：1号里科  后卫：25号梅尔卡多、4号克亚尔、5号朗格莱、18号埃斯库德罗  后腰：15号恩宗齐、10号巴内加  中场：17号萨拉比亚、22号巴斯克斯、11号华金-科雷亚  前锋：20号穆里尔                   3'3分钟后，科雷亚传球，巴斯克斯禁区左侧斜射偏出
5'林加德左路带球突破                   3'3分钟后，科雷亚传球，巴斯克斯禁区左侧斜射偏出
5'底线附近将球回敲                   3'3分钟后，科雷亚传球，巴斯克斯禁区左侧斜射偏出
5'卢卡库禁区内跟进打门                   3'3分钟后，科雷亚传球，巴斯克斯禁区左侧斜射偏出
5'被后卫封堵                   3'3分钟后，科雷亚传球，巴斯克斯禁区左侧斜射偏出
6'巴内加这边上抢慢了一下                   3'3分钟后，科雷亚传球，巴斯克斯禁区左侧斜射偏出
6'直接放倒对方                   3'3分钟后，科雷亚传球，巴斯克斯禁区左侧斜射偏出
6'巴内加得到一张黄牌！                   3'3分钟后，科雷亚传球，巴斯克斯禁区左侧斜射偏出
6'拉什福德来主罚前场的任意球                   3'3分钟后，科雷亚传球，巴斯克斯禁区左侧斜射偏出
6'任意球给到禁区                   3'3分钟后，科雷亚传球，巴斯克斯禁区左侧斜射偏出
6'球似乎有一个变向                   3'3分钟后，科雷亚传球，巴斯克斯禁区左侧斜射偏出
6'里科这边飞身将球扑出                   3'3分钟后，科雷亚传球，巴斯克斯禁区左侧斜射偏出
6'曼联开场后攻势很猛                   3'3分钟后，科雷亚传球，巴斯克斯禁区左侧斜射偏出
74'0-1！！！！！！                   74'塞维利亚第74分钟打破僵局，曼联中场右路丢球，萨拉比亚快速反击中直传，拜利盯人不紧，刚刚替补出场的本-耶德尔禁区边缘内射入右下角
