18'里贝里倒地，但主裁判没有吹点球                   18'拜仁第18分钟取得领先
18'里贝里左路带球，横传给了比达尔，转移给穆勒                   18'拜仁第18分钟取得领先
18'传中，机会来了                   18'拜仁第18分钟取得领先
18'前点莱万多夫斯基没有顶球，后点蒂亚戈插上近距离推射破网！                   18'拜仁第18分钟取得领先
19'这是一个客场进球                   18'拜仁第18分钟取得领先
19'理论上，贝西克塔斯需要晋级的话，得至少打进7球                   18'拜仁第18分钟取得领先
20'格努尔掷界外球                   18'拜仁第18分钟取得领先
20'拜仁慕尼黑在后场倒脚                   18'拜仁第18分钟取得领先
20'胡梅尔斯交给比达尔                   18'拜仁第18分钟取得领先
20'在后场倒一倒脚                   18'拜仁第18分钟取得领先
59'贝西克塔斯终于打进一球                   59'贝西克塔斯第59分钟扳回一分，格尼尔右路抢断阿拉巴传中，勒夫在门前11米处倒地左脚勾射入远角，1比2
59'洛维的进球！                   59'贝西克塔斯第59分钟扳回一分，格尼尔右路抢断阿拉巴传中，勒夫在门前11米处倒地左脚勾射入远角，1比2
59'乌尔赖希发门球，横传给聚勒                   59'贝西克塔斯第59分钟扳回一分，格尼尔右路抢断阿拉巴传中，勒夫在门前11米处倒地左脚勾射入远角，1比2
59'聚勒传给阿拉巴                   59'贝西克塔斯第59分钟扳回一分，格尼尔右路抢断阿拉巴传中，勒夫在门前11米处倒地左脚勾射入远角，1比2
59'被格努尔背后钻出断球传到禁区内                   59'贝西克塔斯第59分钟扳回一分，格尼尔右路抢断阿拉巴传中，勒夫在门前11米处倒地左脚勾射入远角，1比2
60'洛维得球带球进了禁区被比达尔绊倒，洛维倒地前低射，球打进球门左下角！                   59'贝西克塔斯第59分钟扳回一分，格尼尔右路抢断阿拉巴传中，勒夫在门前11米处倒地左脚勾射入远角，1比2
61'贝西克塔斯换人，94号霍金森换下了18号阿尔斯兰                   59'贝西克塔斯第59分钟扳回一分，格尼尔右路抢断阿拉巴传中，勒夫在门前11米处倒地左脚勾射入远角，1比2
61'贝西克塔斯又有机会                   59'贝西克塔斯第59分钟扳回一分，格尼尔右路抢断阿拉巴传中，勒夫在门前11米处倒地左脚勾射入远角，1比2
62'埃尔金横传，奥兹亚库得球横传，夸雷斯马打门打在博阿滕脚出底线                   59'贝西克塔斯第59分钟扳回一分，格尼尔右路抢断阿拉巴传中，勒夫在门前11米处倒地左脚勾射入远角，1比2
62'战术角球，夸雷斯马传中被聚勒顶出来                   59'贝西克塔斯第59分钟扳回一分，格尼尔右路抢断阿拉巴传中，勒夫在门前11米处倒地左脚勾射入远角，1比2
84'拜仁慕尼黑还有机会                   84'拜仁第84分钟恢复2球优势，J罗左肋直塞，阿拉巴禁区左侧传中碰后卫弹起越过门将，瓦格纳胸口垫进空门，3比1
84'阿拉巴打进一球！                   84'拜仁第84分钟恢复2球优势，J罗左肋直塞，阿拉巴禁区左侧传中碰后卫弹起越过门将，瓦格纳胸口垫进空门，3比1
84'拜仁慕尼黑客场3：1贝西克塔斯                   84'拜仁第84分钟恢复2球优势，J罗左肋直塞，阿拉巴禁区左侧传中碰后卫弹起越过门将，瓦格纳胸口垫进空门，3比1
84'是瓦格纳的进球！                   84'拜仁第84分钟恢复2球优势，J罗左肋直塞，阿拉巴禁区左侧传中碰后卫弹起越过门将，瓦格纳胸口垫进空门，3比1
85'J罗左路带球一顺，阿拉巴下底传中，门前瓦格纳用胸部将球挡入对方大门！                   84'拜仁第84分钟恢复2球优势，J罗左肋直塞，阿拉巴禁区左侧传中碰后卫弹起越过门将，瓦格纳胸口垫进空门，3比1
85'能够打进一球，对于瓦格纳来说是弥足珍贵                   84'拜仁第84分钟恢复2球优势，J罗左肋直塞，阿拉巴禁区左侧传中碰后卫弹起越过门将，瓦格纳胸口垫进空门，3比1
86'巴贝尔右路传中，落点很好，可惜帕特米克没能伸脚磁精通球                   84'拜仁第84分钟恢复2球优势，J罗左肋直塞，阿拉巴禁区左侧传中碰后卫弹起越过门将，瓦格纳胸口垫进空门，3比1
