5'回传给后场的什琴斯尼                   5'开场5分钟，尤文首次禁区内射门就取得领先
35'迪巴拉补射破门！梅开二度！尤文图斯2-0伯尔尼年轻人！                   33'迪巴拉第33分钟梅开二度
51'劳珀分球给后场中路伯尔根！                   48'下半时开始3分钟，迪巴拉几乎上演帽子戏法
51'巴尔扎利出现把球破坏出来！                   48'下半时开始3分钟，迪巴拉几乎上演帽子戏法
69'直传球给前场禁区左侧桑德罗！                   69'迪巴拉第69分钟终于完成帽子戏法，迪巴拉转移到左路，阿莱士-桑德罗禁区角传中被贝尔纳代斯基漏过，埃姆雷-詹停给曼朱基奇，曼朱基奇及时挑传禁区右侧，夸德拉多面对出击的门将传中，迪巴拉在门前3米处左脚铲射破门，3比0
69'横做给中路曼朱基奇！                   69'迪巴拉第69分钟终于完成帽子戏法，迪巴拉转移到左路，阿莱士-桑德罗禁区角传中被贝尔纳代斯基漏过，埃姆雷-詹停给曼朱基奇，曼朱基奇及时挑传禁区右侧，夸德拉多面对出击的门将传中，迪巴拉在门前3米处左脚铲射破门，3比0
69'搓传给禁区内右侧夸德拉多！                   69'迪巴拉第69分钟终于完成帽子戏法，迪巴拉转移到左路，阿莱士-桑德罗禁区角传中被贝尔纳代斯基漏过，埃姆雷-詹停给曼朱基奇，曼朱基奇及时挑传禁区右侧，夸德拉多面对出击的门将传中，迪巴拉在门前3米处左脚铲射破门，3比0
69'夸德拉多横做给中路跟进的迪巴拉！                   69'迪巴拉第69分钟终于完成帽子戏法，迪巴拉转移到左路，阿莱士-桑德罗禁区角传中被贝尔纳代斯基漏过，埃姆雷-詹停给曼朱基奇，曼朱基奇及时挑传禁区右侧，夸德拉多面对出击的门将传中，迪巴拉在门前3米处左脚铲射破门，3比0
70'迪巴拉跟进滑铲捅射！！                   69'迪巴拉第69分钟终于完成帽子戏法，迪巴拉转移到左路，阿莱士-桑德罗禁区角传中被贝尔纳代斯基漏过，埃姆雷-詹停给曼朱基奇，曼朱基奇及时挑传禁区右侧，夸德拉多面对出击的门将传中，迪巴拉在门前3米处左脚铲射破门，3比0
70'GOOOOOOOOOOAL！球进了！！！                   69'迪巴拉第69分钟终于完成帽子戏法，迪巴拉转移到左路，阿莱士-桑德罗禁区角传中被贝尔纳代斯基漏过，埃姆雷-詹停给曼朱基奇，曼朱基奇及时挑传禁区右侧，夸德拉多面对出击的门将传中，迪巴拉在门前3米处左脚铲射破门，3比0
70'迪巴拉帽子戏法！尤文图斯3-0伯尔尼年轻人！                   69'迪巴拉第69分钟终于完成帽子戏法，迪巴拉转移到左路，阿莱士-桑德罗禁区角传中被贝尔纳代斯基漏过，埃姆雷-詹停给曼朱基奇，曼朱基奇及时挑传禁区右侧，夸德拉多面对出击的门将传中，迪巴拉在门前3米处左脚铲射破门，3比0
72'尤文图斯换人， 赫迪拉换下皮亚尼奇！                   69'迪巴拉第69分钟终于完成帽子戏法，迪巴拉转移到左路，阿莱士-桑德罗禁区角传中被贝尔纳代斯基漏过，埃姆雷-詹停给曼朱基奇，曼朱基奇及时挑传禁区右侧，夸德拉多面对出击的门将传中，迪巴拉在门前3米处左脚铲射破门，3比0
72'博努奇给前场右侧夸德拉多！                   69'迪巴拉第69分钟终于完成帽子戏法，迪巴拉转移到左路，阿莱士-桑德罗禁区角传中被贝尔纳代斯基漏过，埃姆雷-詹停给曼朱基奇，曼朱基奇及时挑传禁区右侧，夸德拉多面对出击的门将传中，迪巴拉在门前3米处左脚铲射破门，3比0
72'右脚传中给到后点！                   69'迪巴拉第69分钟终于完成帽子戏法，迪巴拉转移到左路，阿莱士-桑德罗禁区角传中被贝尔纳代斯基漏过，埃姆雷-詹停给曼朱基奇，曼朱基奇及时挑传禁区右侧，夸德拉多面对出击的门将传中，迪巴拉在门前3米处左脚铲射破门，3比0
79'迪巴拉右路带球被卡马拉拉人犯规！                   78'年轻人第78分钟雪上加霜，中卫卡马拉边路抬手击中迪巴拉面部，吃到第2张黄牌被罚下
79'裁判掏出黄牌罚给卡马拉！但这是卡马拉本场比赛的第二张黄牌了！两黄变一红！                   78'年轻人第78分钟雪上加霜，中卫卡马拉边路抬手击中迪巴拉面部，吃到第2张黄牌被罚下
80'卡马拉被红牌罚下！                   78'年轻人第78分钟雪上加霜，中卫卡马拉边路抬手击中迪巴拉面部，吃到第2张黄牌被罚下
80'尤文图斯前场右侧定位球！                   78'年轻人第78分钟雪上加霜，中卫卡马拉边路抬手击中迪巴拉面部，吃到第2张黄牌被罚下
80'开球挑传到门前中路！                   78'年轻人第78分钟雪上加霜，中卫卡马拉边路抬手击中迪巴拉面部，吃到第2张黄牌被罚下
80'鲍尔慕斯把球拿到没收！                   78'年轻人第78分钟雪上加霜，中卫卡马拉边路抬手击中迪巴拉面部，吃到第2张黄牌被罚下
80'鲍尔慕斯开球给中场左侧本尼托！                   78'年轻人第78分钟雪上加霜，中卫卡马拉边路抬手击中迪巴拉面部，吃到第2张黄牌被罚下
81'本尼托分球前场左路找华劳！                   78'年轻人第78分钟雪上加霜，中卫卡马拉边路抬手击中迪巴拉面部，吃到第2张黄牌被罚下
81'这球传大了，禁区内什琴斯尼出击把球没收！                   78'年轻人第78分钟雪上加霜，中卫卡马拉边路抬手击中迪巴拉面部，吃到第2张黄牌被罚下
81'什琴斯尼大脚开球给前场右路埃姆雷-詹！                   78'年轻人第78分钟雪上加霜，中卫卡马拉边路抬手击中迪巴拉面部，吃到第2张黄牌被罚下
