1'主裁判哨响，上半场开始了                   1'开场不到1分钟，弗拉西奇传球，马里奥-费尔南德斯突入禁区右侧的射门偏出近角
1'莫斯科中央陆军开球                   1'开场不到1分钟，弗拉西奇传球，马里奥-费尔南德斯突入禁区右侧的射门偏出近角
1'回敲给后场，，，长传                   1'开场不到1分钟，弗拉西奇传球，马里奥-费尔南德斯突入禁区右侧的射门偏出近角
1'组成马塞洛踢出来                   1'开场不到1分钟，弗拉西奇传球，马里奥-费尔南德斯突入禁区右侧的射门偏出近角
1'中路右侧弗拉西奇，杀到右侧底线                   1'开场不到1分钟，弗拉西奇传球，马里奥-费尔南德斯突入禁区右侧的射门偏出近角
1'横敲，，中路斯琴尼科夫包抄，停球出了底线                   1'开场不到1分钟，弗拉西奇传球，马里奥-费尔南德斯突入禁区右侧的射门偏出近角
2'库尔图瓦大脚开出                   1'开场不到1分钟，弗拉西奇传球，马里奥-费尔南德斯突入禁区右侧的射门偏出近角
2'中前场右侧，阿森西奥得球                   1'开场不到1分钟，弗拉西奇传球，马里奥-费尔南德斯突入禁区右侧的射门偏出近角
2'分身前右侧，给同伴                   1'开场不到1分钟，弗拉西奇传球，马里奥-费尔南德斯突入禁区右侧的射门偏出近角
2'挑传，，小禁区前沿，阿金费耶夫把球没收                   1'开场不到1分钟，弗拉西奇传球，马里奥-费尔南德斯突入禁区右侧的射门偏出近角
2'手抛，左侧给到弗拉西奇                   1'开场不到1分钟，弗拉西奇传球，马里奥-费尔南德斯突入禁区右侧的射门偏出近角
2'转移，长甩给右侧费尔南德斯                   1'开场不到1分钟，弗拉西奇传球，马里奥-费尔南德斯突入禁区右侧的射门偏出近角
2'停球失误，出界了                   1'开场不到1分钟，弗拉西奇传球，马里奥-费尔南德斯突入禁区右侧的射门偏出近角
2'界外球，中路扔出来，给桑切斯                   1'开场不到1分钟，弗拉西奇传球，马里奥-费尔南德斯突入禁区右侧的射门偏出近角
3'分边左路给马塞洛                   1'开场不到1分钟，弗拉西奇传球，马里奥-费尔南德斯突入禁区右侧的射门偏出近角
3'压上，到前场左侧，斜传                   1'开场不到1分钟，弗拉西奇传球，马里奥-费尔南德斯突入禁区右侧的射门偏出近角
3'找到了本泽马，，面对防守，回敲                   1'开场不到1分钟，弗拉西奇传球，马里奥-费尔南德斯突入禁区右侧的射门偏出近角
3'球出了边线                   1'开场不到1分钟，弗拉西奇传球，马里奥-费尔南德斯突入禁区右侧的射门偏出近角
3'界外球，中央陆军给出来                   1'开场不到1分钟，弗拉西奇传球，马里奥-费尔南德斯突入禁区右侧的射门偏出近角
3'略伦特把球拦截                   1'开场不到1分钟，弗拉西奇传球，马里奥-费尔南德斯突入禁区右侧的射门偏出近角
3'转移，甩到右路                   1'开场不到1分钟，弗拉西奇传球，马里奥-费尔南德斯突入禁区右侧的射门偏出近角
3'奥德利奥索拉跟上拿球                   1'开场不到1分钟，弗拉西奇传球，马里奥-费尔南德斯突入禁区右侧的射门偏出近角
4'向前一记直塞球                   1'开场不到1分钟，弗拉西奇传球，马里奥-费尔南德斯突入禁区右侧的射门偏出近角
4'禁区外右侧维尼休斯得球                   1'开场不到1分钟，弗拉西奇传球，马里奥-费尔南德斯突入禁区右侧的射门偏出近角
4'被对方铲出了边线                   1'开场不到1分钟，弗拉西奇传球，马里奥-费尔南德斯突入禁区右侧的射门偏出近角
4'界外球，皇马扔出来                   1'开场不到1分钟，弗拉西奇传球，马里奥-费尔南德斯突入禁区右侧的射门偏出近角
4'右路本泽马拿球，横向分球                   1'开场不到1分钟，弗拉西奇传球，马里奥-费尔南德斯突入禁区右侧的射门偏出近角
4'中路马塞洛，，左侧再给维尼休斯                   1'开场不到1分钟，弗拉西奇传球，马里奥-费尔南德斯突入禁区右侧的射门偏出近角
4'往前盘带，，压到禁区边缘                   1'开场不到1分钟，弗拉西奇传球，马里奥-费尔南德斯突入禁区右侧的射门偏出近角
24'外围右侧伊斯科得球                   24'第24分钟，维尼修斯禁区左侧小角度低射被扑出，阿森西奥禁区右侧劲射打中横梁弹出
24'脚后跟磕给阿森西奥                   24'第24分钟，维尼修斯禁区左侧小角度低射被扑出，阿森西奥禁区右侧劲射打中横梁弹出
24'低球斜传，，左侧维尼休斯拿球                   24'第24分钟，维尼修斯禁区左侧小角度低射被扑出，阿森西奥禁区右侧劲射打中横梁弹出
24'快速杀到禁区左侧                   24'第24分钟，维尼修斯禁区左侧小角度低射被扑出，阿森西奥禁区右侧劲射打中横梁弹出
24'连续的晃动，摆脱，，，左脚低射                   24'第24分钟，维尼修斯禁区左侧小角度低射被扑出，阿森西奥禁区右侧劲射打中横梁弹出
24'阿金费耶夫挡了一下                   24'第24分钟，维尼修斯禁区左侧小角度低射被扑出，阿森西奥禁区右侧劲射打中横梁弹出
24'禁区右侧，阿森西奥跟上再射。。。。高了                   24'第24分钟，维尼修斯禁区左侧小角度低射被扑出，阿森西奥禁区右侧劲射打中横梁弹出
24'门将大脚开出来                   24'第24分钟，维尼修斯禁区左侧小角度低射被扑出，阿森西奥禁区右侧劲射打中横梁弹出
24'后场阿森西奥把球拦截                   24'第24分钟，维尼修斯禁区左侧小角度低射被扑出，阿森西奥禁区右侧劲射打中横梁弹出
24'转移，长传给左路                   24'第24分钟，维尼修斯禁区左侧小角度低射被扑出，阿森西奥禁区右侧劲射打中横梁弹出
25'前场左侧马塞洛得球，，分伊斯科                   24'第24分钟，维尼修斯禁区左侧小角度低射被扑出，阿森西奥禁区右侧劲射打中横梁弹出
25'低球斜传，，禁区内中路，被防守队员解围                   24'第24分钟，维尼修斯禁区左侧小角度低射被扑出，阿森西奥禁区右侧劲射打中横梁弹出
25'外围陆军得球，分左路，，拼抢                   24'第24分钟，维尼修斯禁区左侧小角度低射被扑出，阿森西奥禁区右侧劲射打中横梁弹出
25'奥德利奥索拉把球踢出了边线                   24'第24分钟，维尼修斯禁区左侧小角度低射被扑出，阿森西奥禁区右侧劲射打中横梁弹出
25'后场左侧，中央陆军拿球                   24'第24分钟，维尼修斯禁区左侧小角度低射被扑出，阿森西奥禁区右侧劲射打中横梁弹出
25'比斯特洛维奇组织，回敲一下                   24'第24分钟，维尼修斯禁区左侧小角度低射被扑出，阿森西奥禁区右侧劲射打中横梁弹出
26'再分右路，，给出了界外                   24'第24分钟，维尼修斯禁区左侧小角度低射被扑出，阿森西奥禁区右侧劲射打中横梁弹出
26'皇马界外球，分左路马塞洛                   24'第24分钟，维尼修斯禁区左侧小角度低射被扑出，阿森西奥禁区右侧劲射打中横梁弹出
26'回敲给桑切斯                   24'第24分钟，维尼修斯禁区左侧小角度低射被扑出，阿森西奥禁区右侧劲射打中横梁弹出
26'分身前，中路，低球斜传                   24'第24分钟，维尼修斯禁区左侧小角度低射被扑出，阿森西奥禁区右侧劲射打中横梁弹出
